username,postsCount,followersCount,followsCount,private,verified,isBusinessAccount,account
m________ragni,0,278,597,FALSE,FALSE,FALSE,0
d_oll_y930,0,0,7,FALSE,FALSE,FALSE,0
priyadarlzz9,0,4,7,FALSE,FALSE,FALSE,0
kohli.srh,0,0,54,TRUE,FALSE,FALSE,0
subbalakshmi354,0,13,54,FALSE,FALSE,FALSE,0
shuruti7494fun1,0,98,530,FALSE,FALSE,FALSE,0
spacelover646,0,1,9,TRUE,FALSE,FALSE,0
pritti6021,0,6,51,FALSE,FALSE,FALSE,0
genuine_shruti_44,0,11,25,FALSE,FALSE,FALSE,0
megha.saxena169,3,82,452,TRUE,FALSE,FALSE,0
nisha_availeble,0,223,915,FALSE,FALSE,FALSE,0
kajal_babes_avlb_4boys,0,71,591,FALSE,FALSE,FALSE,0
juli_baby_4141,0,212,726,FALSE,FALSE,FALSE,0
dolly____9309,0,1,1,TRUE,FALSE,FALSE,0
offical_muskan_iz,1,83,315,FALSE,FALSE,FALSE,0
sakshi_kumari_sell_00,1,17,92,FALSE,FALSE,TRUE,0
space.lover2003,0,2,15,TRUE,FALSE,FALSE,0
cuteg_ril4875,0,56,305,FALSE,FALSE,FALSE,0
itz_me_shree1722,1,115,470,TRUE,FALSE,FALSE,0
_muskan___rajput____,1,76,765,FALSE,FALSE,FALSE,0
sakshi__jaiswal__rajput,0,130,513,FALSE,FALSE,FALSE,0
zah_eerkhan.11,3,33,191,FALSE,FALSE,FALSE,0
availablejerry_paid__,0,46,481,FALSE,FALSE,FALSE,0
kriti_agrwaal3.13,0,64,564,FALSE,FALSE,FALSE,0
taniya_paid43,0,4,142,FALSE,FALSE,FALSE,0
amii.shah16,0,5,67,FALSE,FALSE,FALSE,0
rc_vedio_call_service_01,0,11,122,FALSE,FALSE,FALSE,0
guddu_fun_,0,18,219,FALSE,FALSE,FALSE,0
shivanshi.telegram.voice.in,9,176,534,TRUE,FALSE,FALSE,0
snehagupta8183,0,31,401,FALSE,FALSE,FALSE,0
anchal__kumari99,4,101,794,FALSE,FALSE,FALSE,0
priya_predictions,1,19,186,FALSE,FALSE,FALSE,0
neha.sarma617,0,90,885,FALSE,FALSE,FALSE,0
playboy68323,1,12,105,FALSE,FALSE,FALSE,0
dream__girl__joya__09,0,49,776,FALSE,FALSE,FALSE,0
teena_fun_9052,2,17,354,FALSE,FALSE,FALSE,0
pooja_.w,5,77,147,FALSE,FALSE,FALSE,0
queen_is_back321,1,91,324,FALSE,FALSE,FALSE,0
shavi_x._0,0,35,495,FALSE,FALSE,FALSE,0
komal__gupta_offical_,0,60,828,FALSE,FALSE,FALSE,0
anita_jain_81,0,2,0,FALSE,FALSE,TRUE,0
priya__paid___6010,0,13,259,FALSE,FALSE,FALSE,0
sunita_yy.1,0,63,498,FALSE,FALSE,FALSE,0
payal_singh_rajput2.3,0,22,567,FALSE,FALSE,FALSE,0
priya_yadav4.8,0,57,533,FALSE,FALSE,FALSE,0
chitra2.11,0,117,1378,FALSE,FALSE,FALSE,0
